"gid","flsid","date","venue","doorprice","attendance","recorded_by","mastered_by","original_source","tour","city","subdivision","country","year","checked","x","y","sound_quality","seconds"
"fort-lauderdale-fl-usa-11800","FLS0967",2000-01-18,"Chili Pepper","6",1200,"Nick Pellicciotto","Jerry Busher","DAT","2000 Winter Southern USA Tour","Fort Lauderdale","FL","USA",2000,1,-80.14616,26.121094,"Very Good",5939
"fort-lauderdale-fl-usa-21493","FLS0501",1993-02-14,"Edge","5",1650,"Joey Picuri","Fugazi","DAT","1993 Winter Southern USA Tour","Fort Lauderdale","FL","USA",1993,1,-80.146197,26.121358,"Very Good",4752
"fort-lauderdale-fl-usa-40296","FLS0779",1996-04-02,"Edge","5",1700,"Nick Pellicciotto","Warren Russell-Smith","DAT","1996 Southern USA Tour","Fort Lauderdale","FL","USA",1996,1,-80.146197,26.121358,"Very Good",3462
"fort-worth-tx-usa-40102","FLS1023",2002-04-01,"Ridglea Theater","6",1350,"Nick Pellicciotto","Warren Russell-Smith","CD","2002 Spring Southern USA/Texas Tour","Fort Worth","TX","USA",2002,1,-97.414576,32.7287826,"Very Good",4988
"fortworth-tx-usa-51189","FLS0109",1989-05-11,"Axis","$5",250,"ANON","Warren Russell-Smith","VHS audio","1989 Spring USA Tour","Fort Worth","TX","USA",1989,1,-97.325687,32.7307225,"Good",3480
"frankfurt-germany-61992","FLS0471",1992-06-19,"Hugenotten Halle",NA,1500,"Joey Picuri","Warren Russell-Smith","Cassette","1992 Spring European Tour","Frankfurt","","Germany",1992,1,8.696354,50.0498328,"Good",5027
"frederick-md-usa-112587","FLS0006",1987-11-25,"Weinberg Center",NA,133.5,"Joey Picuri","Warren Russell-Smith","Cassette","1987 Fall/Winter Regional Dates","Frederick","MD","USA",1987,1,-77.41172,39.413706,"Good",2609
"frederick-md-usa-11389","FLS0093",1989-01-13,"Weinberg Center",NA,452.105263157895,NA,NA,NA,"1989 Winter/Spring Regional Dates","Frederick","MD","USA",1989,1,-77.41172,39.413706,NA,NA
"frederick-md-usa-21690","FLS0179",1990-02-16,"Weinberg Center","$5",800,"Unknown","Jerry Busher","Cassette","1990 Winter/Spring Regional Dates","Frederick","MD","USA",1990,1,-77.41172,39.413706,"Good",4261
"fredericton-nb-canada-72498","FLS0867",1998-07-24,"New Maryland Recreation Center","7(can)",275,"Joey Picuri","Fugazi","DAT","1998 Summer Canada/USA Tour","Fredericton","NB","Canada",1998,1,-66.69653,45.8757938,"Very Good",5206
"fresno-ca-usa-90491","FLS0392",1991-09-04,"Knights of Columbus Hall","5",350,NA,NA,NA,"1991 Summer/Fall USA/Canada Tour","Fresno","CA","USA",1991,1,-119.781809,36.7615716,NA,NA
"fukuoka-japan-102196","FLS0794",1996-10-21,"Viure Hall",NA,170,"Nick Pellicciotto","Warren Russell-Smith","DAT","1996 US/Japan/Hong Kong/Australia Tour","Fukuoka",NA,"Japan",1996,1,130.40007,33.590824,"Very Good",4725
"gainesville-fl-usa-11500","FLS0965",2000-01-15,"Brick City","6",1100,"Nick Pellicciotto","Jerry Busher","DAT","2000 Winter Southern USA Tour","Gainesville","FL","USA",2000,1,-82.327705,29.6523926,"Very Good",5172
"gainesville-fl-usa-21793","FLS0503",1993-02-17,"Florida Theater","5",1450,"Joey Picuri","Jerry Busher","DAT","1993 Winter Southern USA Tour","Gainesville","FL","USA",1993,1,-82.327345,29.6518136,"Very Good",5154
"gainesville-fl-usa-31690","FLS0188",1990-03-16,"American Legion Hall","5",600,"Joey Picuri","Fugazi","Cassette","1990 Spring Southern USA Tour","Gainesville","FL","USA",1990,1,-82.336283,29.6987199,"Very Good",3116
"gainesville-fl-usa-50689","FLS0107",1989-05-06,"American Legion Hall","$3",300,NA,NA,NA,"1989 Spring USA Tour","Gainesville","FL","USA",1989,1,-82.336283,29.6987199,NA,NA
"gainesville-fl-usa-51891","FLS0344",1991-05-18,"Club Demolition","5",500,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Spring USA Tour","Gainesville","FL","USA",1991,1,-82.334561,29.6509125,"Good",4658
"gavle-sweden-100190","FLS0271",1990-10-01,"Cafe Q","50 S Kroner",60,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Fall European Tour","Gavle","","Sweden",1990,1,17.151153,60.674066,"Good",4258
"gavle-sweden-70892","FLS0486",1992-07-08,"Cafe Q",NA,150,"Joey Picuri","Warren Russell-Smith","Cassette","1992 Spring European Tour","Gavle","","Sweden",1992,1,17.151153,60.674066,"Good",4464
"gavoi-sardinia-italy-61795","FLS0691",1995-06-17,"Covo Dei Nottambuli","Free",1200,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Gavoi","","Italy",1995,1,9.194217,40.1618334,"Very Good",4760
"gde-spilimbergo-italy-62295","FLS0695",1995-06-22,"Rototom",NA,800,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Gaio di Spilimbergo",NA,"Italy",1995,1,12.89689,46.112499,"Good",5241
"geel-belgium-92290","FLS0263",1990-09-22,"De Bogaerd","330 BF",400,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Fall European Tour","Geel","","Belgium",1990,1,4.993573,51.1555413,"Very Good",4520
"geelong-australia-62097","FLS0825",1997-06-20,"Courthouse",NA,967.5,"Nick Pellicciotto","Warren Russell-Smith","DAT","1997 Summer Australia/New Zealand Tour","Geelong","VIC","Australia",1997,1,144.357218,-38.1475938,"Very Good",4367
"geelong-vic-australia-101791","FLS0400",1991-10-17,"Ukranian Town Hall",NA,300,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Australia/New Zealand/Japan Tour","Geelong","VIC","Australia",1991,1,144.349,-38.135291,"Very Good",2812
"geneva-switzerland-100699","FLS0942",1999-10-06,"L'Usine",NA,650,"Nick Pellicciotto","Fugazi","DAT","1999 Fall European Tour","Geneva","","Switzerland",1999,1,6.136017,46.203971,"Very Good",6662
"gent-belgium-101688","FLS0055",1988-10-16,"Democrazy",NA,198.714285714286,"Unknown","Warren Russell-Smith","Cassette","1988 Fall European Tour","Gent","","Belgium",1988,1,3.71706,51.0336846,"Poor",2745
"gent-belgium-51995","FLS0667",1995-05-19,"Zaal Vooruit",NA,1000,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Gent","","Belgium",1995,1,3.725274,51.0476851,"Very Good",5490
"glasgow-scotland-102902","FLS1039",2002-10-29,"Barrowland Ballroom",NA,1618.75,"Nick Pellicciotto","Jerry Busher","DAT","2002 Fall UK/Ireland Tour","Glasgow","","Scotland",2002,1,-4.236675,55.8552688,"Very Good",6046
"glasgow-scotland-112789","FLS0165",1989-11-27,"Mayfair","3.50 Pounds",500,"Unknown","Jerry Busher","Cassette","1989 Fall European Tour","Glasgow","","Scotland",1989,1,-4.26893,55.8661649,"Poor",807
"glasgow-scotland-50599","FLS0915",1999-05-05,"Glasgow School of Art","6(pounds)",600,"Joey Picuri","Warren Russell-Smith","DAT","1999 Spring UK/Ireland Tour","Glasgow","","Scotland",1999,1,-4.263757,55.8660481,"Very Good",4649
"glasgow-scotland-50895","FLS0658",1995-05-08,"Barrowland Ballroom",NA,1500,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Glasgow","","Scotland",1995,1,-4.236675,55.8552688,"Poor",4772
"glasgow-scotland-51692","FLS0443",1992-05-16,"Barrowland Ballroom","3-5Pounds",2000,"Joey Picuri","Warren Russell-Smith","Cassette","1992 Spring European Tour","Glasgow","","Scotland",1992,1,-4.236675,55.8552688,"Very Good",5026
"gold-coast-qld-australia-110191","FLS0409",1991-11-01,"Playroom",NA,300,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Australia/New Zealand/Japan Tour","Gold Coast","QLD","Australia",1991,1,153.472542,-28.1209476,"Very Good",4226
"green-bay-wi-usa-101295","FLS0733",1995-10-12,"Riverside Ballroom","5",1000,"Joey Picuri","Warren Russell-Smith","DAT","1995 Fall USA/Canada Tour","Green Bay","WI","USA",1995,1,-87.987239,44.5047192,"Very Good",4353
"green-bay-wi-usa-52693","FLS0552",1993-05-26,"Orpheum Theater","5",1000,"Joey Picuri","Warren Russell-Smith","DAT","1993 Spring USA Tour","Green Bay","WI","USA",1993,1,-88.015096,44.5142754,"Very Good",4667
"green-bay-wi-usa-61289","FLS0127",1989-06-12,"Kutska Hall","$5",280,NA,NA,NA,"1989 Spring USA Tour","Green Bay","WI","USA",1989,1,-88.08385,44.5657576,NA,NA
"green-bay-wi-usa-61890","FLS0232",1990-06-18,"Howard Haus","5",400,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring/Summer USA Tour","Green Bay","WI","USA",1990,1,-88.077136,44.5786555,"Poor",4110
"green-bay-wi-usa-62601","FLS1002",2001-06-26,"Riverside Ballroom","6",1200,"Joey Picuri","Warren Russell-Smith","DAT","2001 Summer Mid-West/Canada Tour","Green Bay","WI","USA",2001,1,-87.987239,44.5047192,"Very Good",5850
"green-bay-wi-usa-81191","FLS0378",1991-08-11,"Wherehouse","5",350,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Summer/Fall USA/Canada Tour","Green Bay","WI","USA",1991,1,-88.015555,44.5157552,"Good",4688
"greensboro-nc-usa-22093","FLS0506",1993-02-20,"Trim Shop","5",750,"Joey Picuri","Jerry Busher","DAT","1993 Winter Southern USA Tour","Greensboro","NC","USA",1993,1,-79.78637,36.0720412,"Very Good",5008
"greensboro-nc-usa-31290","FLS0184",1990-03-12,"Sternberger Hall, Guilford College","$5",250,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring Southern USA Tour","Greensboro","NC","USA",1990,1,-79.887528,36.0941952,"Good",3754
"greensboro-nc-usa-50291","FLS0330",1991-05-02,"Miracle House","5",250,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Spring USA Tour","Greensboro","NC","USA",1991,1,-79.78533,36.0722404,"Good",4134
"groningen-netherlands-120789","FLS0173",1989-12-07,"Vera",NA,452.105263157895,"Ben Corrigan",NA,"Cassette","1989 Fall European Tour","Groningen",NA,"Netherlands",1989,1,6.5701,53.2170258,"Good",4015
"groningen-netherlands-52092","FLS0445",1992-05-20,"Vera",NA,400,"Joey Picuri","Warren Russell-Smith","Cassette","1992 Spring European Tour","Groningen","","Netherlands",1992,1,6.5701,53.2170258,"Very Good",5251
"groningen-netherlands-70795","FLS0708",1995-07-07,"Vera",NA,500,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Groningen","","Netherlands",1995,1,6.5701,53.2170258,"Very Good",5073
"groningen-netherlands-90390","FLS0246",1990-09-03,"Vera","7.50 Gilders",460,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Fall European Tour","Groningen","","Netherlands",1990,1,6.5701,53.2170258,"Poor",5356
"guelph-on-canada-93089","FLS0141",1989-09-30,"Loft","$6cn",250,"ANON","Warren Russell-Smith",NA,"1989 Fall Canada/NE Tour","Guelph","ON","Canada",1989,1,-80.24819,43.544539,"Good",4437
"guelph-ont-canada-90893","FLS0579",1993-09-08,"Peter Clark Hall University of Guelph","6 (canadian)",775,"Joey Picuri","Warren Russell-Smith","DAT","1993 Fall USA/Canada Tour","Guelph","ON","Canada",1993,1,-80.22626,43.5305221,"Good",5101
"hagerstown-md-usa-50198","FLS0849",1998-05-01,"180 Club","5",350,"Nick Pellicciotto","Jerry Busher","DAT","1998 Spring USA Tour","Hagerstown","MD","USA",1998,1,-77.722459,39.6411589,"Excellent",5238
"halifax-ns-canada-72598","FLS0868",1998-07-25,"Olympic Bingo","9(can)",800,"Joey Picuri","Warren Russell-Smith","DAT","1998 Summer Canada/USA Tour","Halifax","NS","Canada",1998,1,-63.594755,44.6504435,"Very Good",6291
"hamburg-germany-102788","FLS0061",1988-10-27,"Störtebeker",NA,198.714285714286,NA,NA,NA,"1988 Fall European Tour","Hamburg","","Germany",1988,1,9.95944,53.546389,NA,NA
"hamburg-germany-120289","FLS0168",1989-12-02,"Markthalle","12.50DM",1500,NA,NA,NA,"1989 Fall European Tour","Hamburg",NA,"Germany",1989,1,10.006869,53.549494,NA,NA
"hamburg-germany-70292","FLS0482",1992-07-02,"Fabrik",NA,1461,"Joey Picuri","Jerry Busher","Cassette","1992 Spring European Tour","Hamburg",NA,"Germany",1992,1,9.928987,53.5565957,"Good",5489
