"gid","fls_link","year","tour","date","venue","city","country","played_with","attendance","sound_quality","latitude","longitude"
"atlanta-ga-usa-51291","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-51291' target='_blank'>atlanta-ga-usa-51291</a>",1991,"1991 Spring USA Tour",1991-05-12,"Masquerade","Atlanta","USA","Daisy",1700,"Good",33.7706759,-84.364432
"atlanta-ga-usa-51291","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-51291' target='_blank'>atlanta-ga-usa-51291</a>",1991,"1991 Spring USA Tour",1991-05-12,"Masquerade","Atlanta","USA","Fiddlehead",1700,"Good",33.7706759,-84.364432
"atlanta-ga-usa-60488","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-60488' target='_blank'>atlanta-ga-usa-60488</a>",1988,"1988 Spring USA Tour",1988-06-04,"First Existentialist Church","Atlanta","USA","After Words",100,"Good",33.7669836,-84.339694
"atlanta-ga-usa-60488","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-60488' target='_blank'>atlanta-ga-usa-60488</a>",1988,"1988 Spring USA Tour",1988-06-04,"First Existentialist Church","Atlanta","USA","Final Offering",100,"Good",33.7669836,-84.339694
"auckland-new-zealand-110891","<a href='https://www.dischord.com/fugazi_live_series/auckland-new-zealand-110891' target='_blank'>auckland-new-zealand-110891</a>",1991,"1991 Australia/New Zealand/Japan Tour",1991-11-08,"Powerstation","Auckland","New Zealand","SPUD",900,"Good",-36.8662425,174.76118
"auckland-new-zealand-110891","<a href='https://www.dischord.com/fugazi_live_series/auckland-new-zealand-110891' target='_blank'>auckland-new-zealand-110891</a>",1991,"1991 Australia/New Zealand/Japan Tour",1991-11-08,"Powerstation","Auckland","New Zealand","Salad Daze",900,"Good",-36.8662425,174.76118
"auckland-new-zealand-110891","<a href='https://www.dischord.com/fugazi_live_series/auckland-new-zealand-110891' target='_blank'>auckland-new-zealand-110891</a>",1991,"1991 Australia/New Zealand/Japan Tour",1991-11-08,"Powerstation","Auckland","New Zealand","Second Child",900,"Good",-36.8662425,174.76118
"auckland-new-zealand-121193","<a href='https://www.dischord.com/fugazi_live_series/auckland-new-zealand-121193' target='_blank'>auckland-new-zealand-121193</a>",1993,"1993 Japan/Australia/New Zealand Tour",1993-12-11,"Powerstation","Auckland","New Zealand","Rainy Days",800,"Excellent",-36.8662425,174.76118
"auckland-new-zealand-121193","<a href='https://www.dischord.com/fugazi_live_series/auckland-new-zealand-121193' target='_blank'>auckland-new-zealand-121193</a>",1993,"1993 Japan/Australia/New Zealand Tour",1993-12-11,"Powerstation","Auckland","New Zealand","Semi Lemon Kola",800,"Excellent",-36.8662425,174.76118
"auckland-new-zealand-121293","<a href='https://www.dischord.com/fugazi_live_series/auckland-new-zealand-121293' target='_blank'>auckland-new-zealand-121293</a>",1993,"1993 Japan/Australia/New Zealand Tour",1993-12-12,"Powerstation","Auckland","New Zealand","Rainy Days",500,"Excellent",-36.8662425,174.76118
