"gid","fls_id","played_with"
"nottingham-england-91390","FLS0255","Crane"
"nottingham-england-91390","FLS0255","Insight"
"nottingham-england-91390","FLS0255","Sink"
"newcastle-england-91490","FLS0256","God's Ultimate Noise"
"newcastle-england-91490","FLS0256","Puppy Fat"
"edinburgh-scotland-91590","FLS0257","Dr. Phibes and the House of Wax Equations"
"belfast-northern-ireland-91690","FLS0258","DFA"
"belfast-northern-ireland-91690","FLS0258","Unsound"
"dublin-ireland-91790","FLS0259","Rhythmites"
"dublin-ireland-91790","FLS0259","Therapy?"
"birmingham-england-91890","FLS0260","Fudgetunnel"
"birmingham-england-91890","FLS0260","Spermbirds"
"london-england-91990","FLS0261","Didgets"
"london-england-91990","FLS0261","Silverfish"
"herne-bay-england-92090","FLS0262","ATV"
"geel-belgium-92290","FLS0263","Alice Donut"
"aalst-belgium-92390","FLS0264","Alice Donut"
"bremen-germany-92590","FLS0265","So Much Hate"
"hamburg-germany-92690","FLS0266","So Much Hate"
"copenhagen-denmark-92790","FLS0267","2000 DS"
"copenhagen-denmark-92790","FLS0267","False Prophets"
"copenhagen-denmark-92790","FLS0267","MDC"
"copenhagen-denmark-92790","FLS0267","Ravings"
"oslo-norway-92890","FLS0268","Life But How to Live It"
"tromso-norway-92990","FLS0269","Life But How to Live It"
"trondheim-norway-93090","FLS0270","Life But How to Live It"
"gavle-sweden-100190","FLS0271","Steve Pops"
"linkoping-sweden-100290","FLS0272","Fisheye"
"pila-poland-100490","FLS0273","Alliance"
"pila-poland-100490","FLS0273","Collaborators"
"warsaw-poland-100590","FLS0274","Collaborators"
"zgorzelec-poland-100690","FLS0275","Collaborators"
"berlin-germany-100790","FLS0276","Urge"
"bielefeld-germany-100890","FLS0277","Flexx"
"bielefeld-germany-100890","FLS0277","Urge"
"hannover-germany-100990","FLS0278","Urge"
"oberhausen-germany-101090","FLS0279","Urge"
"wurzburg-germany-101190","FLS0280","Urge"
"mainz-germany-101290","FLS0281","Urge"
"stuttgart-germany-101390","FLS0282","Urge"
"munich-germany-101490","FLS0283","NoNoYesNo"
"munich-germany-101490","FLS0283","Urge"
"ulm-germany-101690","FLS0284","Urge"
"zurich-switzerland-101790","FLS0285","Urge"
"dornbirn-austria-101890","FLS0286","Seven Sioux"
"dornbirn-austria-101890","FLS0286","Urge"
"wels-austria-101990","FLS0287","Urge"
"vienna-austria-102090","FLS0288","No Fish On Friday"
"vienna-austria-102090","FLS0288","Seven Sioux"
"vienna-austria-102090","FLS0288","Urge"
"ljubljana-yugoslavia-102190","FLS0289","It s Not For Sale"
"zagreb-yugoslavia-102290","FLS0290","Urge"
"udine-italy-102490","FLS0291","Bambine"
"rome-italy-102790","FLS0294","Ratos de Porão"
"lyon-france-103090","FLS0297","G.I. Love"
